serial_numb,date,time,id,display_name,username,content,user_location,file
15,10/14/2022, 4:18:14 PM,1.53716E+18,s Boob Battle,BoobBattle,"I cannot even put into words the mix of emotions I am feeling right now but to say I’m overwhelmed would be a massive understatement!!

I’d like to say a sincere thank you to my medical team and all of the staff here at @apolloproton in Chennai. . ☺️
 
#apolloproton #chennai","Ampthill, Bedfordshire",overwhelmed
15,10/14/2022, 5:30:40 PM,8.24355E+17,Orla Seraph #stoptheshock 🎵🔪,TheTwistedFay,"'@gwaactopus @Ilikedogs29 @yuhline @Lora_Tenenbaum Do you think that anyone should be able to use is there a minority status as a shield from criticism from behaving badly?

I am seeing people with massive accounts on Twitter video footage of an autistic white man being overwhelmed because someone was taking the piss..",England,overwhelmed
15,10/14/2022, 6:02:42 PM,96434688,Henry Heming,FOHeming,Now I am even more sad. https://t.co/TE7jt01XVT,"London, United Kingdom",sad
15,10/14/2022, 6:04:11 PM,53896492,Shazza CTID,cavemanshariCFC,I AM SO SAD https://t.co/i1RoMuSvTV,"Hanwell, West London",sad
16,10/14/2022, 6:04:44 PM,3245251379,Liz C 💙🇨🇦,gardengrump,I am so sad! He was such an incredibly talented man! 😢😢 https://t.co/enQm7sqKsx,"London, England",sad
16,10/14/2022, 6:17:00 PM,1.49808E+18,Out of Bene’s system,L0veofmelife,Just saw a BBG vid and i am so sad,"London, England",sad
16,10/14/2022, 6:28:06 PM,330965330,Antoine Vernet 🇺🇦,Antoine__V,"It's incredibly painful for the country,  but I am glad we are witnessing the death of the conservative party. It's just sad that it didn't happen in 2015 before they took a wrecking ball to all that is good in this country.",London,sad
16,10/14/2022, 6:29:18 PM,27083314,Anna,AnnaLauraWelsh,"I am so sad to hear that the wonderful and talented Robbie Coltrane has passed away at the age of 72. 

He played some great characters during his illustrious career. My favourite has to be his stint as Davie in the Still Game episode Dial-A-Bus.  💜 https://t.co/8Br7KCftoK",Hertfordshire and London,sad
17,10/14/2022, 6:32:16 PM,7.69974E+17,𝑪.,lonelystinn,i am sad. https://t.co/VqZjzTGl8H,"London, England",sad
17,10/14/2022, 6:35:25 PM,803123958,Parsley,Parsleymael,'@Gillian_Philip @pott_t @EmmaElizaCrouc1 That is the perfect thing to say. I am sad.,"London, UK",sad
17,10/14/2022, 7:28:23 PM,1.03382E+18,Fatheya Gelleh,fatheyayallas,'@KhadraDuale @farrah_muday @hooyoanisa Utterly sad.I never had to do that with my neighbours.Why can’t people talk? Just a quick I am here if you need me type of thing?Omg. No judgement for heaven sake just being honest and kind.May humanity prevails.We all need each other incase of emergency.,"London, England",sad
17,10/14/2022, 7:49:34 PM,100780252,Jordana,jordanarachel28,"I am very excited to watch the finale of #BadSisters , but I’m sad I won’t have anything to look forward to next Friday! Weekly television is a gift!","London, England",sad
18,10/14/2022, 8:00:59 PM,1.35091E+18,KristinaKarrington,debbie_kristina,'@stu_will_i_am Oh my goodness how sad amazing man &amp; such a great actor. Do you know what he died of? I heard he’d been ill for awhile 🥲x,"London, England",sad
18,10/14/2022, 8:05:21 PM,1.35242E+18,ghost,emogreghirsch,"'@PastelWell_ sad times in the nandos fandom. we went for curry instead, not all was lost, but i am a bit sad.",London,sad
18,10/14/2022, 8:49:16 PM,29060348,Jamie,Jamieonthisday,"'@Tony_Robinson @dannykellywords Such sad news. I always see him in the sketch, Dr Not the Nine O’Clock News. “I am an elephant you know.”",London,sad
19,10/14/2022, 9:28:18 AM,2993099577,s still a pandemic!,SahraRaeTaylor,"'@Caitlyn_Jenner @BreitbartNews The GOP will never love you, never accept you, never give you the recognition you desire.

Just like Milo, they will cast you aside as soon as you stop performing for them

I am so sad for you 😪",London,sad
19,10/15/2021, 4:23:11 PM,499984159,Edward Kernahan,Ed_209_Kernahan,"Just to be clear, regardless or your political leanings, no MP deserves to be killed for doing their job. I am very much a leftist but I’m sad and disappointed by some of the things other so called ‘liberals’ are saying about the death of David Amess. Respect all life.",Oxfordshire,sad
19,10/15/2021, 7:26:07 PM,73606853,gem☁️,Gemstokes,I am tired of being sad and feeling far away so I have decided I will now be everyone’s best friend. you are now all contractually obliged to see me 3 days a week.,"London, England",sad
20,10/15/2022, 1:10:41 PM,1380302370,Phoenicat,LeftistPrincess,"'@Pablo____Chacon I spent a fair amount to upgrade my PC to make sure it will handle this game at 60fps. I will be a little sad, spending all this money and waiting for years upon years of this game only to end up with shit frame rate. I am still STOCKED about it, but will cry if I get 30fps","London, England",sad
20,10/15/2022, 1:30:58 PM,2415746473,Laurent Ruseckas,LaurentRuseckas,"'@StarbucksUK @Starbucks I regret to inform everybody that UK sous vide egg bites - finally introduced here after many years - are different from, and undeniably inferior to, the US version. I am sad.","London, England",sad
20,10/15/2022, 1:37:15 PM,168270717,ruva🌼,ruviexo,People are like “inject this video into my veins” but that’s incredibly disturbing. He could have shot her in a way that restrains her without saying “I will kill you”. She’s a sick woman (and likely mentally deranged) but police shouldn’t be acting as executioners,London,kill
21,10/15/2022, 1:56:24 PM,8.55884E+17,Dr Simon Ashworth 🇺🇦,DrSimonAshworth,"True. And Hunt and Truss both know Brexit is an abject failure.

But I am sad to say the only way we will all come to accept this will be through pain.

And the political reality is to reverse Brexit “the people” will need to be begging… https://t.co/IYxGOm0a6t",London,sad
21,10/15/2022, 10:21:58 PM,2447645599,adrian,not_adriann,What the fuck is a situationship I will literally kill myself,PNW,kill
21,10/15/2022, 10:24:15 AM,1.56605E+18,🐆जागोग्राहक🐆राष्ट्र प्रथम🐆निष्पक्ष योगी 2.0🇮🇳,AlfaRomeo755,"'@soniaRainaV @nsb1080 @autar_peshen I am sad by seeing hypocracy of Butterer of BJP , who are doing anything and playing with emotion to do business.","London, England",sad
22,10/15/2022, 10:38:13 AM,137820040,Noor e Maryam Kanwer,nooremaryamk,'@Ziyad_F_I Am so sad and furious at the same time.,"London, England",sad
22,10/15/2022, 10:52:10 AM,1.27842E+18,⟭⟬ ᴮᴱ RiMin⁷⟬⟭ 💜🐰💜,Mimi7Na,Everything is going to kill me but I will take Weverse with me #YetToCome_on_Weverse_LIVE,"London, England",kill
22,10/15/2022, 11:13:49 AM,1.37013E+18,MIMI🧚🏽\u200d♀️/HOME DECOR,mimischmoney11,"I am not sorry but I don’t feel anything concerning this tweet, I am just indifferent 
I feel no remorse and at the same time I am sad about it https://t.co/tUsJnwDQFI","London, England",sad
23,10/15/2022, 11:32:27 AM,8.19605E+17,EstellaAnn,BanguraTee,'@KemiBadenoch Most of your MP colleagues have given her a hardtime from day one. You had lunch with Gove. Keep architect of chaos on the 45p. What are you sad abt? I voted her bcz i supported her policies and now what? I am done with this party for now.,"London, England",sad
23,10/15/2022, 12:55:54 AM,223498611,Pain,BigAzazel1ST,I'm not a batty man I will kill unno,South London,kill
23,10/15/2022, 12:59:41 AM,223498611,Pain,BigAzazel1ST,Someone tell SMG ot whenever it is that's been spiking me that I'm not gay and I will get reggie to kill you,South London,kill
24,10/15/2022, 2:41:23 PM,3438421049,Stuart Matthews Poet Author Artist 🇺🇦,the_allot_ment,"'@CatherineBeavis @InstantEternal1 You really are welcome, Catherine. I am really pleased with how this book turned out, and overwhelmed with the response. Thank you again for being a part of it😊",West Sussex England,overwhelmed
24,10/15/2022, 3:28:00 AM,1013117839,taz,tazrianhaq,i am so fuckin sad https://t.co/xziFw05Ral,"London, England",sad
24,10/15/2022, 3:44:31 PM,8.19465E+17,Mandroid2525,mandroid2525,"Hello good afternoon meatbags and SuperFriends Gamers 👊🇬🇧
I am quite overwhelmed by your many responses and helpful hints
I am humbled 😞
Thanks you All 😍",London UK,overwhelmed
25,10/15/2022, 4:09:53 PM,242366900,m🥚,Muvaharris,I am fed up of being sad,se london,sad
25,10/15/2022, 5:19:50 PM,1.12902E+18,J.,joycensilu,Ramen &amp; Rum better fix my life because I’m tired of being ill,"London, England",tired
25,10/15/2022, 5:39:44 PM,8.60893E+17,Andrew Hooper,andrewr0612,"'@HPlaysPiano You have such beautiful eyes Harriet, I am overwhelmed","England, United Kingdom",overwhelmed
26,10/15/2022, 5:50:10 PM,1.51826E+18,Christopher Sharp,ChrisUKSharp,"'@ufouapam Yea, quite easy to confuse, as the report discusses different events. I am open minded re 2019 events. The sad thing is that sailors feel upset, as they think they failed, as attempts were made to take them down. From my understanding, Bass Strait was searched too.",London,sad
26,10/15/2022, 5:59:16 PM,7.40879E+17,Sarah Ziegel,SarahJZiegel,'@Pepperfire Glad to hear I am not a bot. But sad to realise I am not whacky (I'm not).,"Richmond, London",sad
26,10/15/2022, 6:04:53 PM,1910690155, takesure simbi,takesimbi,"'@I_am_Skhumbuzo So sad.
May their souls rest peacefully.","London, England",sad
27,10/15/2022, 7:05:25 PM,4864476255,ZC,Orchid1Swiss,'@GabbyLogan why are they #forcing us to eat #plant #based #food. #annoying and I am so sad to think all that #waste when there are #children who could use that for their #breakfast #hot #chocolate. Sad....😢🙁,"London, England",sad
27,10/15/2022, 7:47:30 PM,1.49028E+18,AOi,A0iYT,"'@BsCauseMePain @BearPigCentral @dougdagnabbit @BadBoyBeaman Taller than baby legs thou. I am sad, sad you wont tell me if Brad has been perma banned or not :(",London,sad
27,10/15/2022, 7:58:00 PM,1.07251E+18,Ben Apfel,apfel_ben,"'@BBCJLandale IDI Amin wrote in 1973: ""The sad fact is that it is the ordinary British citizen who is suffering most. I am today appealing to all the people of Uganda who have all along been traditional friends of the British people to come forward and help their former colonial masters.""","London, England",sad
28,10/15/2022, 8:55:43 PM,9.0975E+17,SHERLOCK HOLMES /Parody/Fan/RP Account,HisPurpleShirt,"such a nasty lie causing me to change my name there on a few accounts.
Stalking is what it’s called when you are watched for a while until tweets are posted about you.
I am sad, angry and ready to go right at them, but I am not.

I am getting it out here in a verse where I can—",🎻221B Baker Street.,sad
28,10/15/2022, 9:03:17 AM,135895748,Kgabisang✨,BubblyGabz,"'@jabuz Here’s the sad part…that paragraph up there, I still didn’t get your point 🤷🏽‍♀️ Maybe I am not that smart after all…and it’s not you, it’s me! 

Have a great day! 👍🏽","London, England",sad
28,10/15/2022, 9:23:55 PM,7.98432E+17,Reuben,ReubMaximin,If a customer does this while I’m working in the milk section I will kill myself https://t.co/j9AoYyM0DN,,kill
29,10/15/2022, 9:26:34 AM,255215721,Lloyd Banks,jazzyLloyd,'@I_am_Skhumbuzo Very sorry my condolences very sad..,"London, England",sad
29,10/15/2022, 9:36:48 PM,9.44646E+17,Uncle,nannycrin,"I am truly sad that our country is in such a devastating position. 
However I am over joyed seeing right wing polemicists smashing their party to pieces.
They took a sledge hammer to our society left 50% of people behind fucked the economy &amp; tells its remainers fault. 
#RejoinEU https://t.co/tAjMwbWMmb","London, England",sad
29,10/15/2022, 9:40:00 PM,23483816,Giles Paley-Phillips,eliistender10,"Genuinely overwhelmed by all the kind messages folks, can't truly express how grateful I am, this place can be so toxic at times but, honestly, I've made the very best of friends",Seaford,overwhelmed
30,10/15/2022, 9:42:08 PM,263651115,Nigel Watson,NigelAWatson,"'@BrianBoruNI London EV street tech

I am in no way sad😩🤗🙃😎 https://t.co/smCZh5YvbT","Belfast, Northern Ireland",sad
30,10/15/2022, 9:44:37 AM,103912935,Nadim Baba,NadimJBaba,'@Miss_Snuffy Just realised you are in a position where you have influence over kids and this is the kind of nonsense you believe. I am sad.,London,sad
30,10/16/2022, 10:28:52 AM,2178703962,Bill Shipley,Harry_cartoons,"'@CaptainMarvel09 @MuppetPowerrrrr @PM_Thornton @SCMPNews So I am a colonialist?  Explain precisely how that is the case, if you can. Is that your level of debate?  You cannot defend your own dictatorship without resorting to this kind of drivel.  It's truly sad ...",London,sad
31,10/16/2022, 10:59:14 AM,284209315,Richard Semitego,SEMITEGO,"I am saddened to hear the sad new of the passing on of my friend Simon Winters OBE. The jokes, meetings &amp; talks I used to have and shared with Simon. He has been one of my guides on the political front and some issues concerning Uganda. My sincere condolences to Simon's family🙏 https://t.co/qR2k60mS5u","London, UK",sad
31,10/16/2022, 11:24:20 AM,2870810009,millie,overgrownmillie,"at this point my life consists of two things:
1. brain zaps 2. complaining i'm tired",London.,tired
31,10/16/2022, 12:38:36 PM,1851752635,Peter Wilson,PeterWilson,'@Sumita_Dixit This is so unbelievably sad.  Sumita was a total star.  So many of you have already said it so well - I am so very sorry for all our loss,"London, United Kingdom",sad
32,10/16/2022, 2:13:11 PM,9.32216E+17,MrsWichapasSumettikul,saifa_bible,"Jeff!! I am proud of you. And I love you so much. I can’t express how I feel, I am so overwhelmed with feelings right now 

#KPWorldTourSeoul #jeffsatur https://t.co/oRHuCHhxap",Republic of the Philippines,overwhelmed
32,10/16/2022, 3:01:00 PM,1.4494E+18,Existin Thing,ThingExistin,"Flapack died, nooooooooo #forflapjack #TheOwlHouse I am so sad now","London, England",sad
32,10/16/2022, 3:01:38 PM,1.13732E+18,Nightingale Celebrants,RoyCole91623028,'@WhistleblowingT I am thrown by this statement.  What are the benefits of doing suck a thing?  It makes me ridiculously sad and angry.  Report it but with evidence and anonymously if you can.,"London, England",sad
33,10/16/2022, 3:10:58 PM,20220329,Dan Armstrong,darmstro,'@robdelaney @HodderBooks @southbankcentre @cheltfestivals @ToppingsEdin @km_km_km_ Your excerpt had me a sobbing puddle (my wife will attest) and I am so sad for what your family has gone through but amazed at your strength and ability to process. Looking forward to reading the book. All the best from a fellow American in London.,London,sad
